id,created_at,updated_at,flight_identifier,flt_num,scheduled_origin_gate,scheduled_destination_gate,out_gmt,in_gmt,off_gmt,on_gmt,destination,origin,destination_full_name,origin_full_name,price,Coreid_2
291524,9/19/2019 20:36,9/19/2019 20:36,bbc0f807-78d5-4c0a-bd92-1421c446a62e,2266,5,A11,2/9/2019 19:57,2/9/2019 23:01,2/9/2019 20:08,2/9/2019 22:54,ATL,HDN,Hartsfield - Jackson Atlanta I,Yampa Valley,2545.54,1
291525,9/19/2019 20:36,9/19/2019 20:36,bec01ab7-9928-407a-8257-2553c59a552e,2325,E13,C49,2/9/2019 19:49,2/9/2019 22:02,2/9/2019 20:04,2/9/2019 21:56,ATL,DFW,Hartsfield - Jackson Atlanta I,Dallas-ft Worth Intl,545,2
291526,9/19/2019 20:36,9/19/2019 20:36,d2822943-d87e-4a5e-8322-ce9de800a014,1284,1B,C2,2/9/2019 19:48,2/10/2019 0:20,2/9/2019 20:05,2/10/2019 0:14,IAD,SJD,Washington Dulles Intl,Los Cabos Intl,24,3
291527,9/19/2019 20:36,9/19/2019 20:36,db902283-5ff4-4cdf-be00-41bc1a3ffb3a,4962,37,B4,2/9/2019 20:00,2/9/2019 21:55,2/9/2019 20:17,2/9/2019 21:50,LEX,PHL,Blue Grass,Philadelphia Intl,545.35,4
291528,9/19/2019 20:36,9/19/2019 20:36,ef23ce2e-a2d3-4947-ad15-6147c3a62032,5085,35X,27,2/9/2019 20:08,2/9/2019 21:19,2/9/2019 20:23,2/9/2019 21:12,BDL,DCA,Bradley International,Ronald Reagan Washington Natl,274,5
291529,9/19/2019 20:36,9/19/2019 20:36,f6518580-efe0-459f-861f-60e46c831b97,3397,B7,A18,2/9/2019 20:02,2/10/2019 1:18,2/9/2019 20:11,2/10/2019 1:12,MDW,SJU,Chicago Midway Intl,Luis Munoz Marin Intl,125,6
291530,9/19/2019 20:36,9/19/2019 20:36,f83cc0bb-814f-470b-8f02-8abdad767d27,1661,B74,B31,2/9/2019 20:06,2/9/2019 21:54,2/9/2019 20:23,2/9/2019 21:48,ATL,IAD,Hartsfield - Jackson Atlanta I,Washington Dulles Intl,27,7
291531,9/19/2019 20:36,9/19/2019 20:36,ff16a33f-8b20-4c7f-b3da-c45dd5a8e003,102,14,Any,2/9/2019 20:02,2/10/2019 2:46,2/9/2019 20:19,2/10/2019 2:40,MCT,LHR,Muscat Intl,Heathrow,978,8
291532,9/19/2019 20:36,9/19/2019 20:36,06451baa-db3c-46b4-9389-6ba56b4b0a15,1402,C50,D4,2/9/2019 19:54,2/9/2019 21:26,2/9/2019 20:13,2/9/2019 21:22,MSY,ATL,Armstrong New Orleans Intl,Hartsfield - Jackson Atlanta I,134,9
291533,9/19/2019 20:36,9/19/2019 20:36,50c33327-d2d5-414a-a8e3-ed5cc6cc6684,861,6,11,2/9/2019 19:56,2/9/2019 22:05,2/9/2019 20:10,2/9/2019 21:59,DFW,HDN,Dallas-ft Worth Intl,Yampa Valley,2545.54,10
